Персонаж;ТЕКСТ
ПЬЯНЫЙ ДЕД;Ээх, кого я вижу! Почему, ты, девочка, ещё не ушла?
ЭЛЛА;Извините, я тут одним делом интересуюсь, и, возможно только вы можете мне помочь. Я ищу свою подругу детства – Лили.
ПЬЯНЫЙ ДЕД;Знаю-знаю. Все говорят, что она потерялась, но лишь мне известна истина! Это чудовище! Оно живёт в этом проклятом кафе. Люди сошли с ума! Не видят, не замечают, не хотят замечать правды. А когда понимают, то становиться слишком поздно.
ЭЛЛА;Что? О чём вы говорите? Я вас не понимаю. Какое-то чудище живёт в местном заведении и похищает людей?
ЭЛЛА (В МЫСЛЯХ);Похоже, он и вправду сумасшедший.
ПЬЯНЫЙ ДЕД;Ты не понимаешь! Это чудовище жило там задолго до постройки этой деревни. Оно никого не трогало, до поры до времени, когда кто-то его не разгневал. 
ПЬЯНЫЙ ДЕД;Люди в нашей деревне не самые честные и добрые, но лишь они и выживают. Трогает чудовище лишь чистых и добрых людей.
ПЬЯНЫЙ ДЕД;Я вижу, что тебе здесь не место. Уходи! Уходи пока оно тебя не забрало.
ЭЛЛА;Я… я поняла. Я уеду сегодня же вечером.
ЭЛЛА (В МЫСЛЯХ);Не то чтобы мне было страшно, просто я и сама не планировала оставаться дольше. Как бы то ни было, я попыталась сделать всё, что могла.
ПЬЯНЫЙ ДЕД;А ты не видела Беллу? Девочка, сидевшая здесь на скамейке. Уже должна была прибежать.
ЭЛЛА;А куда она могла пойти?
ЭЛЛА (В МЫСЛЯХ);Нужно помочь найти девочку. Наверняка просто убежала куда-то ненадолго.
ПЬЯНЫЙ ДЕД;Наверняка она опять туда пошла! Что за дети пошли, ты говоришь им не идти туда, и они идут именно туда! В чертово кафе!
ЭЛЛА;А, так значит она в кафе? Пойдёмте!
ПЬЯНЫЙ ДЕД;Ты можешь пока быстро туда и обратно сбегать? А я подожду тебя здесь.
ЭЛЛА (В МЫСЛЯХ);Странный человек. Сначала говорит не ходить туда, а потом сам в то место и посылает.
