Персонаж;ТЕКСТ
ЭЛЛА;Добрый день. Извините, не подскажете, что это был за человек?
АМАЛИЯ;Так ты нездешняя! Я – Амалия. Давно таких не видела! Как там у вас, за тридевять земель?
ЭЛЛА;Приятно, Элла. У нас всё прекрасно. Но не могли бы вы мне всё-таки объяснить, что здесь произошло?
АМАЛИЯ;Да что здесь только не происходило! Огонь, вода и медные трубы! Вот недавно, представляешь, такой ужасный ливень был! Вместе с градом! Он шёл, шёл, шёл, и наша река вышла из берегов. Затопило полдеревни! 
АМАЛИЯ;Еле как сами жители спаслись. И нет раненных, ну и на том слава Богу. Давно таких ливней не было, лет сто как. Помню, как бабушка мне говорила, что такая непогода лишь неприятности в жизни сулит. Хотя у неё на каждый чих была своя примета. Помню…
ЭЛЛА;Прошу прощения!! Расскажите мне только о пьяном деде, пожалуйста!
АМАЛИЯ;Ох, не знаю о ком ты. Может быть, если у меня будет книга о моём любимом цветочке Лилии, то я вспомню и его тоже. Недавно, одна девочка украла книгу у меня, а я к ней даже прикоснуться не смогла, она так быстро удрала.
АМАЛИЯ;Да и полиция в наши дни как посмотрит, что ты за ребёнком бежишь, да и сразу схватит. Дети стали такими хитрыми, чуть что, так своих родных родителей представляют перед общественностью чужими людьми, лишь бы те исполнили их каприз. Но, с другой стороны, дети так беззащитны перед незнакомцами…
ЭЛЛА;Ни слова больше! Достану я вам эту книгу.
АМАЛИЯ;Спасибочки, тебе огромное! Вовек не забуду твоей доброты, милая.
ЭЛЛА (В МЫСЛЯХ);Ещё чуть-чуть и я бы сорвалась на эту женщину. Поразительно раздражающая особа.
